Linux 6.8.0-87-generic (cosmicmeat.aeza.network) 	11/04/2025 	_x86_64_	(4 CPU)

06:42:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:42:59 PM  all    3.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   96.50
06:43:00 PM  all    4.26    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.24
06:43:01 PM  all    3.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.72
06:43:02 PM  all    2.76    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   96.49
06:43:03 PM  all    2.48    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   97.02
06:43:04 PM  all    1.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.49
06:43:05 PM  all    1.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.25
06:43:06 PM  all    1.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.24
06:43:07 PM  all    5.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   94.50
06:43:08 PM  all    2.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.24
06:43:09 PM  all    3.26    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.49
06:43:10 PM  all    2.25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.75
06:43:11 PM  all    4.26    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   95.24
06:43:12 PM  all    2.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.50
06:43:13 PM  all    1.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.24
06:43:14 PM  all    7.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.23
06:43:15 PM  all    1.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.74
06:43:16 PM  all    4.00    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   95.25
06:43:17 PM  all    2.76    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.99
06:43:18 PM  all    2.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.99
06:43:19 PM  all    1.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.50
06:43:20 PM  all    2.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.99
06:43:21 PM  all    3.52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.48
06:43:22 PM  all    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
06:43:23 PM  all    5.50    0.00    1.00    0.00    0.00    0.25    0.00    0.00    0.00   93.25
06:43:24 PM  all    2.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.74
06:43:25 PM  all    0.75    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:43:26 PM  all    5.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.21
06:43:27 PM  all    2.00    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   97.51
06:43:28 PM  all    1.75    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   97.75
06:43:29 PM  all    4.55    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.45
06:43:30 PM  all    1.51    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.49
06:43:31 PM  all    2.49    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.26
06:43:32 PM  all    1.75    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   97.75
06:43:33 PM  all    2.51    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   96.99
06:43:34 PM  all    1.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.25
06:43:35 PM  all    2.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.24
06:43:36 PM  all    2.26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.74
06:43:37 PM  all    1.26    0.00    0.00    0.00    0.00    0.25    0.00    0.00    0.00   98.49
06:43:38 PM  all    7.48    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   92.27
06:43:39 PM  all    3.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.72
06:43:40 PM  all    1.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.50
06:43:41 PM  all    2.76    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.98
06:43:42 PM  all    2.99    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   96.26
06:43:43 PM  all    3.27    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.48
06:43:44 PM  all    2.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.99
06:43:45 PM  all    5.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.97
06:43:46 PM  all    1.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.25
06:43:47 PM  all    1.25    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.50
06:43:48 PM  all    3.53    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   96.22
06:43:49 PM  all    1.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.23
06:43:50 PM  all    2.23    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   97.52
06:43:51 PM  all    1.50    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   98.25
06:43:52 PM  all    5.26    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   94.49
06:43:53 PM  all    1.77    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.23
06:43:54 PM  all    4.74    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   95.01
06:43:55 PM  all    3.24    0.00    0.25    0.00    0.00    0.25    0.00    0.00    0.00   96.26
06:43:56 PM  all    0.50    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.00
06:43:57 PM  all    4.28    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   95.47
06:43:58 PM  all    3.52    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.48
Average:     all    2.86    0.00    0.20    0.00    0.00    0.03    0.00    0.00    0.00   96.92
