top - 18:42:48 up  3:51,  1 user,  load average: 0.20, 0.22, 0.14
Threads:  66 total,   0 running,  66 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  2.3 sy,  0.0 ni, 97.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   7941.2 total,   6838.9 free,    678.0 used,    681.3 buff/cache     
MiB Swap:    512.0 total,    512.0 free,      0.0 used.   7263.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1612 root      rt -10 1057460 303908  38528 S  18.2   3.7   0:37.11 python
    967 root      rt -10 1057460 303908  38528 S   9.1   3.7   1:21.94 python
    990 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.06 python
    991 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.06 python
    992 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.06 python
    993 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.01 python
    994 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.04 python
    995 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.01 python
    996 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.00 python
    997 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.56 python
    999 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.54 python
   1000 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.00 python
   1001 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:03.17 python
   1010 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.31 python
   1012 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:00.24 python
   1014 root      rt -10 1057460 303908  38528 S   0.0   3.7   1:30.44 python
   1015 root      rt -10 1057460 303908  38528 S   0.0   3.7   1:32.46 python
   1016 root      rt -10 1057460 303908  38528 S   0.0   3.7   1:32.48 python
   1017 root      rt -10 1057460 303908  38528 S   0.0   3.7   1:33.90 python
   1018 root      rt -10 1057460 303908  38528 S   0.0   3.7   1:28.34 python
   1019 root      rt -10 1057460 303908  38528 S   0.0   3.7   1:34.59 python
   1020 root      rt -10 1057460 303908  38528 S   0.0   3.7   1:27.49 python
   1021 root      rt -10 1057460 303908  38528 S   0.0   3.7   1:32.74 python
   1025 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:03.58 python
   1026 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:03.96 python
   1027 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:03.65 python
   1028 root      rt -10 1057460 303908  38528 S   0.0   3.7   0:02.38 python
   1030 root      rt -10 1057460 303908  38528 S   0.0   3.7   1:28.41 python
