procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 7015348  39216 658820    0    0    37    52  725    2  3  0 96  0  0  0
 1  0      0 7015348  39216 658864    0    0     0     0  635  324  3  0 96  0  0  0
 0  0      0 7015348  39216 658864    0    0     0     0  894 1276  4  0 96  0  0  0
 0  0      0 7015348  39216 658864    0    0     0     0  476  235  3  0 97  0  0  0
 0  0      0 7015348  39216 658864    0    0     0     0  371  159  2  0 98  0  0  0
 0  0      0 7015348  39216 658864    0    0     0     0  346  198  1  0 98  0  0  0
 0  0      0 7015096  39224 658864    0    0     0    36  858  897  7  1 93  0  0  0
 0  0      0 7015096  39224 658864    0    0     0     0  895 1266  4  0 96  0  0  0
 0  0      0 7015096  39224 658864    0    0     0     0  476  226  3  0 97  0  0  0
 0  0      0 7015096  39224 658868    0    0     0     0  386  222  1  0 99  0  0  0
 0  0      0 7019512  39224 658868    0    0     0     0  825 1353  4  0 96  0  0  0
 0  0      0 7019512  39224 658868    0    0     0     0 1167 2513  4  1 95  0  0  0
 0  0      0 7019512  39232 658868    0    0     0    40  256  145  1  0 99  0  0  0
 0  0      0 7019512  39232 658868    0    0     0     0  548 1053  2  0 98  0  0  0
 0  0      0 7019512  39232 658868    0    0     0     0 1170 1862  6  1 93  0  0  0
 0  0      0 7019512  39232 658868    0    0     0     0 1035 1464  6  0 94  0  0  0
 0  0      0 7019512  39232 658868    0    0     0     0  427  245  3  0 97  0  0  0
 0  0      0 7019512  39232 658868    0    0     0     0  777 1233  4  0 96  0  0  0
 0  0      0 7019512  39240 658868    0    0     0    16  516  290  4  0 96  0  0  0
 0  0      0 7019512  39240 658868    0    0     0     0  442  250  3  0 97  0  0  0
 0  0      0 7019512  39240 658868    0    0     0     0  339  177  1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 7019512  39240 658868    0    0     0     0  999 1257  6  1 93  0  0  0
 0  0      0 7019512  39240 658868    0    0     0     0  363  165  2  0 98  0  0  0
 0  0      0 7018508  39240 658868    0    0     0     0  368  186  2  0 98  0  0  0
 0  0      0 7018508  39248 658868    0    0     0    16  328  216  2  0 99  0  0  0
 0  0      0 7018508  39248 658868    0    0     0     0  289  164  2  0 98  0  0  0
 0  0      0 7018508  39248 658868    0    0     0     0  973 1932  5  0 95  0  0  0
 0  0      0 7018508  39248 658868    0    0     0    40  297  161  1  0 99  0  0  0
 0  0      0 7018508  39248 658868    0    0     0     0  543  239  4  1 96  0  0  0
 0  0      0 7018508  39248 658868    0    0     0     0  410  282  3  0 97  0  0  0
 0  0      0 7018508  39256 658868    0    0     0    16 1115 2295  3  1 96  0  0  0
 0  0      0 7018508  39256 658868    0    0     0     0  555  235  4  0 96  0  0  0
 0  0      0 7018508  39256 658868    0    0     0     0  473  220  2  0 98  0  0  0
 0  0      0 7018508  39256 658868    0    0     0     0  669  946  4  0 96  0  0  0
 0  0      0 7018508  39256 658868    0    0     0     0  314  147  2  0 98  0  0  0
 0  0      0 7018508  39256 658868    0    0     0     0 1157 1934  7  0 93  0  0  0
 0  0      0 7018508  39264 658868    0    0     0    16  556  254  4  0 96  0  0  0
 0  0      0 7018508  39280 658868    0    0     0   268  299  189  1  0 99  0  0  0
 0  0      0 7018508  39280 658868    0    0     0     0  577  889  3  0 97  0  0  0
 0  0      0 7018508  39280 658868    0    0     0     0  363  195  2  0 98  0  0  0
 0  0      0 7017752  39280 658868    0    0     0     0  381  193  2  0 98  0  0  0
 0  0      0 7017500  39288 658860    0    0     0    36  286  183  1  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 7017500  39288 658868    0    0     0     4 1749 4057  5  0 94  0  0  0
 0  0      0 7017500  39288 658872    0    0     0     0 1032 2223  4  1 95  0  0  0
 1  0      0 7017500  39288 658872    0    0     0     0  401  220  2  0 98  0  0  0
 0  0      0 7019444  39288 658872    0    0     0     0  614  290  3  0 97  0  0  0
 0  0      0 7019192  39288 658872    0    0     0     0  368  189  2  0 98  0  0  0
 0  0      0 7019192  39296 658876    0    0     0    32  396  210  2  0 98  0  0  0
 0  0      0 7019192  39296 658876    0    0     0     8  919 1521  4  0 96  0  0  0
 0  0      0 7016928  39296 658876    0    0     0     0  459  200  3  1 97  0  0  0
 0  0      0 7016928  39296 658876    0    0     0     0 1495 2679  6  0 94  0  0  0
 0  0      0 7016928  39296 658876    0    0     0     0  516  230  4  0 96  0  0  0
 0  0      0 7016928  39296 658880    0    0     0     0  398  200  2  0 98  0  0  0
 0  0      0 7016928  39304 658880    0    0     0    36 1065 1283  7  1 92  0  0  0
 0  0      0 7016928  39304 658880    0    0     0     4 1483 3197  5  1 94  0  0  0
 0  0      0 7016928  39304 658880    0    0     0     0  442  221  1  0 99  0  0  0
 0  0      0 7016928  39304 658880    0    0     0     0  919 1565  4  0 96  0  0  0
 0  0      0 7016928  39304 658880    0    0     0     0  557  276  4  0 96  0  0  0
 0  0      0 7016928  39304 658880    0    0     0     0  334  162  2  0 98  0  0  0
 0  0      0 7016928  39312 658880    0    0     0    36 1002 1612  5  0 95  0  0  0
