Linux 6.8.0-78-generic (warmjump.aeza.network) 	11/04/2025 	_x86_64_	(4 CPU)

02:00:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:00:20 PM  all   54.50    0.00   17.44    0.00    0.00    0.82    0.00    0.00    0.00   27.25
02:00:21 PM  all   60.57    0.00   11.49    0.00    0.00    0.78    0.00    0.00    0.00   27.15
02:00:22 PM  all   54.30    0.00   25.27    0.00    0.00    0.54    0.00    0.00    0.00   19.89
02:00:23 PM  all   54.03    0.00   24.46    0.00    0.00    0.81    0.00    0.00    0.00   20.70
02:00:24 PM  all   62.37    0.00   22.94    0.00    0.00    0.26    0.00    0.00    0.00   14.43
02:00:25 PM  all   64.47    0.00   13.42    0.00    0.00    0.26    0.00    0.00    0.00   21.84
02:00:26 PM  all   48.96    0.00    7.55    0.00    0.00    0.52    0.00    0.00    0.00   42.97
02:00:27 PM  all   49.87    0.00   15.65    0.00    0.00    1.06    0.00    0.00    0.00   33.42
02:00:28 PM  all   59.16    0.00   19.37    0.00    0.00    0.26    0.00    0.00    0.00   21.20
02:00:29 PM  all   59.90    0.00   25.78    0.00    0.00    0.52    0.00    0.00    0.00   13.80
02:00:30 PM  all   62.89    0.00   12.11    0.00    0.00    0.53    0.00    0.00    0.00   24.47
02:00:31 PM  all   47.54    0.00   14.48    0.00    0.00    0.55    0.00    0.00    0.00   37.43
02:00:32 PM  all   63.47    0.00   14.93    0.00    0.00    0.53    0.00    0.00    0.00   21.07
02:00:33 PM  all   55.99    0.00   29.17    0.00    0.00    0.26    0.00    0.00    0.00   14.58
02:00:34 PM  all   59.69    0.00   26.70    0.00    0.00    0.26    0.00    0.00    0.00   13.35
02:00:35 PM  all   51.53    0.00    8.91    0.00    0.00    0.84    0.00    0.00    0.00   38.72
02:00:36 PM  all   59.95    0.00    9.81    0.00    0.00    0.53    0.00    0.00    0.00   29.71
02:00:37 PM  all   66.67    0.00   14.44    0.00    0.00    0.79    0.00    0.00    0.00   18.11
02:00:38 PM  all   58.67    0.00   16.27    0.00    0.00    0.80    0.00    0.00    0.00   24.27
02:00:39 PM  all   53.78    0.00   21.57    0.00    0.00    0.56    0.00    0.00    0.00   24.09
02:00:40 PM  all   59.26    0.00    9.26    0.00    0.00    0.26    0.00    0.00    0.00   31.22
02:00:41 PM  all   57.91    0.00    8.85    0.00    0.00    0.80    0.00    0.00    0.00   32.44
02:00:42 PM  all   55.06    0.00   16.57    0.00    0.00    0.56    0.00    0.00    0.00   27.81
02:00:43 PM  all   56.42    0.00   22.46    0.00    0.00    0.80    0.00    0.00    0.00   20.32
02:00:44 PM  all   61.05    0.00   22.89    0.00    0.00    0.53    0.00    0.00    0.00   15.53
02:00:45 PM  all   60.26    0.00   22.60    0.00    0.00    0.78    0.00    0.00    0.00   16.36
02:00:46 PM  all   59.28    0.00   20.62    0.00    0.00    0.26    0.00    0.00    0.00   19.85
02:00:47 PM  all   54.64    0.00   10.11    0.00    0.00    0.27    0.00    0.00    0.00   34.97
02:00:48 PM  all   56.56    0.00   18.31    0.00    0.00    0.82    0.00    0.00    0.00   24.32
02:00:49 PM  all   53.54    0.00   26.51    0.00    0.00    0.52    0.00    0.00    0.00   19.42
02:00:50 PM  all   52.55    0.00   27.88    0.00    0.00    0.27    0.00    0.00    0.00   19.30
02:00:51 PM  all   61.38    0.00   20.90    0.00    0.00    0.79    0.00    0.00    0.00   16.93
02:00:52 PM  all   49.45    0.00   24.04    0.00    0.00    0.27    0.00    0.00    0.00   26.23
02:00:53 PM  all   55.43    0.00   19.71    0.00    0.00    0.57    0.00    0.00    0.00   24.29
02:00:54 PM  all   59.57    0.00   10.78    0.00    0.00    0.81    0.00    0.00    0.00   28.84
02:00:55 PM  all   48.81    0.00    5.54    0.00    0.00    1.06    0.00    0.00    0.00   44.59
02:00:56 PM  all   31.58    0.00    2.37    0.26    0.00    0.00    0.00    0.00    0.00   65.79
02:00:57 PM  all   42.89    0.00    6.84    0.00    0.00    0.26    0.00    0.00    0.00   50.00
02:00:58 PM  all   42.63    0.00    2.89    0.00    0.00    0.00    0.00    0.00    0.00   54.47
02:00:59 PM  all   27.11    0.00    2.63    0.00    0.00    0.00    0.00    0.00    0.00   70.26
02:01:00 PM  all   27.03    0.00    2.10    0.00    0.00    0.00    0.00    0.00    0.00   70.87
02:01:01 PM  all   26.84    0.00    2.37    0.00    0.00    0.00    0.00    0.00    0.00   70.79
02:01:02 PM  all   43.41    0.00    4.39    0.00    0.00    0.26    0.00    0.00    0.00   51.94
02:01:03 PM  all   61.24    0.00   23.51    0.00    0.00    0.26    0.00    0.00    0.00   14.99
02:01:04 PM  all   59.63    0.00   15.83    0.00    0.00    1.06    0.00    0.00    0.00   23.48
02:01:05 PM  all   62.27    0.00   18.73    0.00    0.00    0.26    0.00    0.00    0.00   18.73
02:01:06 PM  all   58.01    0.00   24.67    0.00    0.00    0.79    0.00    0.00    0.00   16.54
02:01:07 PM  all   56.81    0.00   13.61    0.00    0.00    0.52    0.00    0.00    0.00   29.06
02:01:08 PM  all   63.56    0.00   14.12    0.00    0.00    0.56    0.00    0.00    0.00   21.75
02:01:09 PM  all   52.97    0.00   15.95    0.00    0.00    0.54    0.00    0.00    0.00   30.54
02:01:10 PM  all   61.20    0.00   18.49    0.00    0.00    0.52    0.00    0.00    0.00   19.79
02:01:11 PM  all   59.73    0.00    9.60    0.00    0.00    0.53    0.00    0.00    0.00   30.13
02:01:12 PM  all   56.10    0.00    9.21    0.00    0.00    0.54    0.00    0.00    0.00   34.15
02:01:13 PM  all   56.58    0.00   16.84    0.00    0.00    0.26    0.00    0.00    0.00   26.32
02:01:14 PM  all   63.25    0.00   19.69    0.00    0.00    0.79    0.00    0.00    0.00   16.27
02:01:15 PM  all   62.96    0.00   18.78    0.00    0.00    0.79    0.00    0.00    0.00   17.46
02:01:16 PM  all   55.04    0.00   24.80    0.00    0.00    0.82    0.00    0.00    0.00   19.35
02:01:17 PM  all   63.56    0.00   19.95    0.00    0.00    0.27    0.00    0.00    0.00   16.22
02:01:18 PM  all   56.88    0.00   26.49    0.00    0.00    0.52    0.00    0.00    0.00   16.10
02:01:19 PM  all   57.07    0.00   18.93    0.00    0.00    0.27    0.00    0.00    0.00   23.73
Average:     all   54.96    0.00   16.19    0.00    0.00    0.51    0.00    0.00    0.00   28.33
