procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 856172  49216 2523156    0    0   143  1021 29379  313 55 16 29  0  0  0
 8  0      0 856172  49216 2523184    0    0     0     0 31617 136641 63 22 15  0  0  0
 5  0      0 856172  49216 2523184    0    0     0     0 28972 106664 53 15 32  0  0  0
 3  0      0 856172  49216 2523184    0    0     0   156 31894 124586 55 13 32  0  0  0
 2  0      0 856172  49216 2523184    0    0     0     0 28658 110973 61 16 23  0  0  0
16  0      0 855920  49216 2523180    0    0     0     0 37203 172480 58 27 15  0  0  0
 7  0      0 855920  49224 2523180    0    0     0    44 27506 114010 69 17 14  0  0  0
 4  0      0 855920  49224 2523180    0    0     0    12 21781 77294 53 10 36  0  0  0
 5  0      0 855920  49224 2523180    0    0     0     0 27148 94344 61 11 29  0  0  0
 8  0      0 855920  49224 2523180    0    0     0     0 22343 75723 53  8 39  0  0  0
12  0      0 855920  49224 2523180    0    0     0     0 24589 85652 69 11 20  0  0  0
18  0      0 855920  49224 2523180    0    0     0     4 31802 146580 62 23 15  0  0  0
11  0      0 856772  49228 2523180    0    0     0    44 26791 202454 57 29 15  0  0  0
 3  0      0 856772  49228 2523180    0    0     0     0 27179 129969 67 18 15  0  0  0
 4  0      0 856772  49228 2523180    0    0     0     0 20086 72902 36  8 56  0  0  0
 0  0      0 856772  49228 2523180    0    0     0     0 29330 104152 62 14 24  0  0  0
 4  0      0 856772  49228 2523180    0    0     0     4 26210 161125 57 25 19  0  0  0
 5  0      0 856772  49228 2523180    0    0     0     0 23751 205872 57 31 13  0  0  0
 1  0      0 856772  49232 2523180    0    0     0    40 32940 138036 59 22 20  0  0  0
10  0      0 856772  49232 2523180    0    0     0     0 18766 65119 50  7 43  0  0  0
 6  0      0 856772  49232 2523180    0    0     0     0 21254 60721 70  8 22  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 856772  49232 2523180    0    0     0     0 35149 121049 55 16 29  0  0  0
 7  0      0 856772  49232 2523180    0    0     0     0 34679 115681 66 14 20  0  0  0
 3  0      0 858108  49232 2523180    0    0     0     0 32535 112079 59 11 30  0  0  0
13  0      0 858108  49240 2523180    0    0     0   108 44237 166242 55 23 22  0  0  0
10  0      0 858108  49240 2523180    0    0     0     0 44155 165244 54 26 20  0  0  0
 9  0      0 857860  49240 2523180    0    0     0     0 29457 105506 66 13 22  0  0  0
 2  0      0 789532  49240 2523180    0    0     0     0 17187 45300 45  6 49  0  0  0
 2  0      0 772496  49240 2523208    0    0     0 102540 13353 26905 33  7 60  0  0  0
 4  0      0 813188  49240 2523208    0    0     0     0 28132 82723 51 11 38  0  0  0
 1  0      0 815252  49252 2523208    0    0     0    60 15319 28385 28  1 71  0  0  0
 1  0      0 820672  49252 2523208    0    0     0     0 14759 29458 27  2 71  0  0  0
 1  0      0 825416  49252 2523208    0    0     0   340 14761 29803 27  2 70  0  0  0
 2  0      0 837680  49252 2523208    0    0     0     0 14803 30306 28  2 70  0  0  0
31  0      0 848044  49252 2523208    0    0     0     4 26415 92251 62 13 25  0  0  0
 5  0      0 847948  49252 2523208    0    0     0     0 29644 136343 62 22 15  0  0  0
 2  0      0 850480  49256 2523212    0    0     0    44 33261 117758 55 18 27  0  0  0
13  0      0 852912  49256 2523212    0    0     0     0 29841 116502 52 16 32  0  0  0
 5  0      0 855040  49256 2523212    0    0     0     0 33234 128779 63 19 17  0  0  0
 9  0      0 856904  49256 2523212    0    0     0     0 19433 61255 49  9 42  0  0  0
 5  0      0 858536  49256 2523212    0    0     0     0 36158 130378 62 19 18  0  0  0
 6  0      0 859500  49256 2523228    0    0     0     0 31415 108566 68 16 15  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 860496  49260 2523228    0    0     0    12 25710 82253 66 11 24  0  0  0
 6  0      0 861396  49260 2523232    0    0     0     0 35807 136213 62 21 17  0  0  0
12  0      0 861396  49260 2523232    0    0     0     0 34044 155061 61 24 14  0  0  0
 5  0      0 861396  49260 2523232    0    0     0     0 36583 144789 61 21 18  0  0  0
 6  0      0 863616  49260 2523232    0    0     0     0 20185 70141 48  7 45  0  0  0
 6  0      0 862424  49260 2523232    0    0     0     0 36254 148348 60 20 20  0  0  0
 6  0      0 862424  49268 2523232    0    0     0    32 34571 129706 62 20 18  0  0  0
 2  0      0 862424  49268 2523232    0    0     0     0 37039 156525 58 26 16  0  0  0
14  0      0 862424  49268 2523232    0    0     0     4 29938 175567 60 27 14  0  0  0
 1  0      0 862424  49268 2523232    0    0     0     0 30965 163529 54 20 26  0  0  0
10  0      0 862424  49268 2523232    0    0     0     4 32723 114317 63 16 21  0  0  0
 5  0      0 862172  49268 2523232    0    0     0     0 28970 102499 60 12 28  0  0  0
14  0      0 862172  49276 2523232    0    0     0    20 32415 124809 61 20 19  0  0  0
 4  0      0 862172  49276 2523232    0    0     0     0 35146 137221 59 23 17  0  0  0
 1  0      0 862172  49276 2523232    0    0     0     0 20673 72918 51  7 41  0  0  0
 3  0      0 865648  49276 2523232    0    0     0     0 20203 67814 56  8 36  0  0  0
18  0      0 862536  49276 2523232    0    0     0     0 36874 156322 57 21 22  0  0  0
 4  0      0 862060  49276 2523232    0    0     0     0 29000 181599 57 27 16  0  0  0
